班次代码,班次名称,时间安排,备注,工时
班1A,班1A,8:30-12:00,14:00-18:30,白班,8
班1B,班1B,8:30-13:00,14:00-17:30,白班,8
班2A,班2A,13:00-16:00,18:30-23:30,晚班,8
班2B,班2B,12:30-17:00,19:00-22:30,晚班,8
班3A,班3A,8:00-12:30,13:30-17:00,白班,8
班3B,班3B,7:30-8:30,9:00-12:30,14:30-18:00,白班,8
班4A,班4A,9:30-13:30,18:00-22:00,早晚班,8
班4B,班4B,8:30-11:30,12:30-14:30,17:30-20:30,早晚班,8
班5A,班5A,7:00-8:30,9:00-12:30,15:30-18:30,早班,8
班5B,班5B,6:00-7:30,8:00-11:30,12:30-15:30,早班,8
夜1,夜1,22:30-6:30,跨夜班,8
夜2,夜2,17:00-1:00,跨夜班,8
班6,班6,8:30-12:30,13:30-17:30,正常班,8
